id,kind,file,timeline_in,timeline_out,source_in,source_out,conform,include_audio,volume_db,notes
S01,video,Media/S01_event_hook.mp4,00:00:00.000,00:00:03.000,00:00:00.000,00:00:03.000,fit,false,0,행사 오프닝
S02,video,Media/S02_event_scan.mp4,00:00:03.000,00:00:06.000,00:00:00.000,00:00:03.000,fit,false,0,Neo 부대 스캔
S03,video,Media/S03_pink_selected.mp4,00:00:06.000,00:00:09.000,00:00:00.000,00:00:03.000,fit,false,0,핑크 Neo 선택
S04,video,Media/S04_pink_check.mp4,00:00:09.000,00:00:12.000,00:00:00.000,00:00:03.000,fit,false,0,색상 확인
S05,video,Media/S05_training.mp4,00:00:12.000,00:00:14.000,00:00:00.000,00:00:02.000,fit,false,0,기본 교육
S06,video,Media/S06_handover.mp4,00:00:14.000,00:00:16.000,00:00:00.000,00:00:02.000,fit,false,0,기기 인계
S07,video,Media/S07_cafe_boot.mp4,00:00:16.000,00:00:20.000,00:00:00.000,00:00:04.000,fit,false,0,카페 첫 부팅
S08,video,Media/S08_account_mismatch.mp4,00:00:20.000,00:00:24.000,00:00:00.000,00:00:04.000,fit,false,0,iPad 및 계정 불일치
S09,video,Media/S09_procreate_rough.mp4,00:00:24.000,00:00:27.000,00:00:00.000,00:00:03.000,fit,false,0,Procreate 러프
S10,video,Media/S10_line_art.mp4,00:00:27.000,00:00:31.000,00:00:00.000,00:00:04.000,fit,false,0,선화 수신
S11,video,Media/S11_store_arrival.mp4,00:00:31.000,00:00:34.000,00:00:00.000,00:00:03.000,fit,false,0,Apple Store 도착
S12,video,Media/S12_multiple_macs.mp4,00:00:34.000,00:00:37.000,00:00:00.000,00:00:03.000,fit,false,0,여러 Mac 감지
S13,video,Media/S13_weight_test.mp4,00:00:37.000,00:00:41.000,00:00:00.000,00:00:04.000,fit,false,0,무게 측정
S14,video,Media/S14_competitor_scan.mp4,00:00:41.000,00:00:44.000,00:00:00.000,00:00:03.000,fit,false,0,경쟁 기기 스캔
S15,video,Media/S15_diagnostic_error.mp4,00:00:44.000,00:00:47.000,00:00:00.000,00:00:03.000,fit,false,0,질투 모듈 오류
S16,video,Media/S16_company_arrival.mp4,00:00:47.000,00:00:50.000,00:00:00.000,00:00:03.000,fit,false,0,회사 도착
S17,video,Media/S17_company_field_test.mp4,00:00:50.000,00:00:57.000,00:00:00.000,00:00:07.000,fit,false,0,대여 고지 및 현장 테스트
S18,video,Media/S18_company_end.mp4,00:00:57.000,00:01:00.000,00:00:00.000,00:00:03.000,fit,false,0,엔딩
